Order ID,Product,Quantity Ordered,Price Each,Order Date,Address,City,State,Zip Code,Revenue
209921,USB-C Charging Cable,1,11.95,06/23/19 19:34,950 Walnut St, Portland,Maine,04101,11.95
209922,Macbook Pro Laptop,1,1700.0,06/30/19 10:05,80 4th St, San Francisco,California,94016,1700.0
209923,ThinkPad Laptop,1,999.99,06/24/19 20:18,402 Jackson St, Los Angeles,California,90001,999.99
209924,27in FHD Monitor,1,149.99,06/05/19 10:21,560 10th St, Seattle,Washington,98101,149.99
209925,Bose SoundSport Headphones,1,99.99,06/25/19 18:58,545 2nd St, San Francisco,California,94016,99.99
209926,Apple Airpods Headphones,1,150.0,06/28/19 20:04,386 Lake St, Seattle,Washington,98101,150.0
209927,Lightning Charging Cable,1,14.95,06/28/19 00:07,29 Lincoln St, Los Angeles,California,90001,14.95
209928,Apple Airpods Headphones,1,150.0,06/16/19 21:30,350 9th St, New York City,New York,10001,150.0
209929,Wired Headphones,1,11.99,06/28/19 10:56,612 Meadow St, Portland,Oregon,97035,11.99
209930,27in FHD Monitor,1,149.99,06/02/19 11:22,625 Ridge St, Los Angeles,California,90001,149.99
209931,Apple Airpods Headphones,1,150.0,06/24/19 13:55,761 14th St, New York City,New York,10001,150.0
209932,Flatscreen TV,1,300.0,06/12/19 14:36,858 8th St, Boston,Massachusetts,02215,300.0
209933,AA Batteries (4-pack),1,3.84,06/07/19 15:39,932 Lakeview St, San Francisco,California,94016,3.84
209934,AAA Batteries (4-pack),1,2.99,06/13/19 20:53,387 Dogwood St, Boston,Massachusetts,02215,2.99
209935,AAA Batteries (4-pack),1,2.99,06/09/19 11:13,530 Cedar St, Boston,Massachusetts,02215,2.99
209936,34in Ultrawide Monitor,1,379.99,06/15/19 12:21,769 Dogwood St, Dallas,Texas,75001,379.99
209937,AA Batteries (4-pack),1,3.84,06/29/19 18:01,675 Maple St, Dallas,Texas,75001,3.84
209938,iPhone,1,700.0,06/15/19 12:29,766 Meadow St, Seattle,Washington,98101,700.0
209938,Wired Headphones,1,11.99,06/15/19 12:29,766 Meadow St, Seattle,Washington,98101,11.99
209939,Google Phone,1,600.0,06/08/19 16:55,313 South St, San Francisco,California,94016,600.0
209940,34in Ultrawide Monitor,1,379.99,06/26/19 15:24,990 South St, Atlanta,Georgia,30301,379.99
209941,Wired Headphones,1,11.99,06/27/19 11:18,486 13th St, Boston,Massachusetts,02215,11.99
209942,27in 4K Gaming Monitor,1,389.99,06/19/19 13:52,874 Wilson St, Austin,Texas,73301,389.99
